ym,channel,n_assets,standardizable
2016-11,ch2_holding,1,False
2016-12,ch2_holding,4,True
2017-01,ch2_holding,5,True
2017-02,ch2_holding,5,True
2017-03,ch2_holding,6,True
2017-04,ch2_holding,6,True
2017-05,ch2_holding,8,True
2017-06,ch2_holding,10,True
2017-07,ch2_holding,12,True
2017-08,ch2_holding,15,True
2017-09,ch2_holding,17,True
2017-10,ch2_holding,18,True
2017-11,ch2_holding,22,True
2017-12,ch2_holding,23,True
2018-01,ch2_holding,22,True
2018-02,ch2_holding,21,True
2018-03,ch2_holding,21,True
2018-04,ch2_holding,20,True
2018-05,ch2_holding,20,True
2018-06,ch2_holding,20,True
2018-07,ch1_staking,1,False
2018-07,ch2_holding,23,True
2018-08,ch1_staking,1,False
2018-08,ch2_holding,20,True
2018-09,ch1_staking,1,False
2018-09,ch2_holding,18,True
2018-10,ch1_staking,1,False
2018-10,ch2_holding,18,True
2018-11,ch1_staking,1,False
2018-11,ch2_holding,20,True
2018-12,ch1_staking,1,False
2018-12,ch2_holding,17,True
2019-01,ch1_staking,1,False
2019-01,ch2_holding,13,True
2019-02,ch1_staking,1,False
2019-02,ch2_holding,17,True
2019-03,ch1_staking,1,False
2019-03,ch2_holding,19,True
2019-04,ch1_staking,1,False
2019-04,ch2_holding,19,True
2019-05,ch1_staking,1,False
2019-05,ch2_holding,24,True
2019-06,ch1_staking,1,False
2019-06,ch2_holding,19,True
2019-07,ch1_staking,1,False
2019-07,ch2_holding,24,True
2019-08,ch1_staking,1,False
2019-08,ch2_holding,30,True
2019-09,ch1_staking,1,False
2019-09,ch2_holding,35,True
2019-10,ch1_staking,1,False
2019-10,ch2_holding,34,True
2019-11,ch1_staking,1,False
2019-11,ch2_holding,33,True
2019-12,ch1_staking,2,True
2019-12,ch2_holding,37,True
2020-01,ch1_staking,2,True
2020-01,ch2_holding,37,True
2020-02,ch1_staking,2,True
2020-02,ch2_holding,35,True
2020-03,ch1_staking,3,True
2020-03,ch2_holding,41,True
2020-04,ch1_staking,4,True
2020-04,ch2_holding,48,True
2020-05,ch1_staking,5,True
2020-05,ch2_holding,48,True
2020-06,ch1_staking,5,True
2020-06,ch2_holding,47,True
2020-07,ch1_staking,6,True
2020-07,ch2_holding,49,True
2020-08,ch1_staking,9,True
2020-08,ch2_holding,52,True
2020-08,ch3_delegation,2,True
